artifact_id,logical_path,paper_role,provenance_class,source_repository,source_commit,source_path,source_url,source_license,source_bytes,source_sha256,materialization,analysis_bytes,analysis_sha256,redistribution,retrieval_status,notes
cdfci_c2_ccpvdz,C2-cc-pVDZ-CDFCI/FCIDUMP,auxiliary benchmark,third_party,CDFCI/CDFCI,7d045ffe00569e80a8b32826fc29b350206aae3b,data/c2_ccpvdz_psi4.FCIDUMP,https://raw.githubusercontent.com/CDFCI/CDFCI/7d045ffe00569e80a8b32826fc29b350206aae3b/data/c2_ccpvdz_psi4.FCIDUMP,BSD-3-Clause,1022729,d93a0de0d096345a26053bb98c28d5768128b91cddb41a5246cedddd776a517e,lf_to_crlf,1045459,3216ac312c6efc30e6f06f9f08e1b4e899c2050c9a55a7a21087306029850089,not_redistributed,verified_upstream,Analysis copy differs from upstream only by line endings.
cdfci_h2o_ccpvdz,H2O-cc-pVDZ-CDFCI/FCIDUMP,main large-system benchmark,third_party,CDFCI/CDFCI,7d045ffe00569e80a8b32826fc29b350206aae3b,data/h2o_ccpvdz_psi4.FCIDUMP,https://raw.githubusercontent.com/CDFCI/CDFCI/7d045ffe00569e80a8b32826fc29b350206aae3b/data/h2o_ccpvdz_psi4.FCIDUMP,BSD-3-Clause,1110362,efa8d171b4de58a2e998348fc46ccf81932cf8257a5c929febd8761c1adecb47,lf_to_crlf,1135039,467b07c3361453b2c7c129666dc59cc4aecd4d03e762484cb5c340e4b2b1deeb,not_redistributed,verified_upstream,Analysis copy differs from upstream only by line endings.
cdfci_n2_ccpvdz,N2-cc-pVDZ-CDFCI/FCIDUMP,main large-system benchmark,third_party,CDFCI/CDFCI,7d045ffe00569e80a8b32826fc29b350206aae3b,data/n2_ccpvdz_psi4.FCIDUMP,https://raw.githubusercontent.com/CDFCI/CDFCI/7d045ffe00569e80a8b32826fc29b350206aae3b/data/n2_ccpvdz_psi4.FCIDUMP,BSD-3-Clause,920658,9eca084ca63692f8212a9dde162c3e023a9cb8aa83ec4915bbcc6049b194229b,copy,920658,9eca084ca63692f8212a9dde162c3e023a9cb8aa83ec4915bbcc6049b194229b,not_redistributed,verified_upstream,Pinned author-repository input used for the paper trajectory.
cdfci_cr2_48e42o,Cr2-Ahlrichs-VDZ-CDFCI/FCIDUMP,source for Cr2 active Hamiltonian,third_party,CDFCI/CDFCI,7d045ffe00569e80a8b32826fc29b350206aae3b,data/cr2_ahlrichs_psi4.FCIDUMP,https://raw.githubusercontent.com/CDFCI/CDFCI/7d045ffe00569e80a8b32826fc29b350206aae3b/data/cr2_ahlrichs_psi4.FCIDUMP,BSD-3-Clause,4367479,7a8e71d47c0e7766d5531797f68ce61d5026d2428f9ae204e387f014b5cc4837,lf_to_crlf,4464534,13f094011b1991b0bf4db2d25734071196704ca800c6770438538b9c8339a627,not_redistributed,verified_upstream,Analysis copy differs from upstream only by line endings.
cr2_cas24e30o,Cr2-Ahlrichs-SV-CAS24e30o/FCIDUMP,main large-system benchmark,derived_from_third_party,CDFCI/CDFCI,7d045ffe00569e80a8b32826fc29b350206aae3b,data/cr2_ahlrichs_psi4.FCIDUMP,https://raw.githubusercontent.com/CDFCI/CDFCI/7d045ffe00569e80a8b32826fc29b350206aae3b/data/cr2_ahlrichs_psi4.FCIDUMP,BSD-3-Clause,4367479,7a8e71d47c0e7766d5531797f68ce61d5026d2428f9ae204e387f014b5cc4837,"freeze_core:1,2,3,4,14,18,24,25,26,27,35,39",539126,cac2dfd0b207bf14d3e0ef6ed38ebd4f8ee4c75019f9ccd9bd7e3ffd5567435c,not_redistributed,recipe_available,Generated locally with scripts/freeze_fcidump_core.py; effective core constant -1915.9783034306633 Eh.
dice_mnsalen_cas28e22o,MnSalen-CAS28e22o/FCIDUMP,large-system failure diagnostic,third_party,sanshar/Dice,f0f0850de73f2f02953ff6552315889d47255b6f,tests/SHCI/integrals/mn_salen_FCIDUMP_nosym,https://raw.githubusercontent.com/sanshar/Dice/f0f0850de73f2f02953ff6552315889d47255b6f/tests/SHCI/integrals/mn_salen_FCIDUMP_nosym,GPL-3.0-or-later,1262097,16eb6e6a283b9be315a5c0679def2d9782dafbae222a26084fd03c996aad240e,lf_to_crlf,1294486,42e5003005dd1872483b669dcf23076dea8ff8c6d463ca38abff4e74223be2ea,not_redistributed,verified_upstream,Analysis copy differs from upstream only by line endings; MS2=2 is selected at run time.
g2_nh3_all_electron,NH3-cc-pVDZ-G2-FC/FCIDUMP.all_electron,source for NH3 frozen-core Hamiltonian,author_generated,,,arXiv:2004.10059v3 ancillary geometries and SHCI.csv,https://arxiv.org/abs/2004.10059,arXiv ancillary terms,,,generate_g2_ccpvdz_rhf,7433328,4a69afd4af51dc99e62931c99dd9c67890bbef0ecd25d1a8535b93d845e0a5c6,eligible_after_author_license,recipe_available,Generated with spherical cc-pVDZ and canonical RHF from the cited G2 geometry.
g2_nh3_frozen_core,NH3-cc-pVDZ-G2-FC/FCIDUMP,main large-system benchmark,author_generated,,,arXiv:2004.10059v3 ancillary geometries and SHCI.csv,https://arxiv.org/abs/2004.10059,arXiv ancillary terms,,,generate_g2_ccpvdz_rhf_then_freeze_core_1,3298281,c2b1abc1cb59ae2bd3df6e712efcf76f092e5864437887a03b2d6d95ff584756,eligible_after_author_license,recipe_available,Generated by scripts/generate_g2_hamiltonians.py; 8 electrons in 28 orbitals.
g2_hcn_all_electron,HCN-cc-pVDZ-G2-FC/FCIDUMP.all_electron,source for HCN frozen-core Hamiltonian,author_generated,,,arXiv:2004.10059v3 ancillary geometries and SHCI.csv,https://arxiv.org/abs/2004.10059,arXiv ancillary terms,,,generate_g2_ccpvdz_rhf,6634308,c229324d645073fb49d3d2ce4c0900f7be34e9bcd95cfa67de100183fc708566,eligible_after_author_license,recipe_available,Generated with spherical cc-pVDZ and canonical RHF from the cited G2 geometry.
g2_hcn_frozen_core,HCN-cc-pVDZ-G2-FC/FCIDUMP,main large-system benchmark,author_generated,,,arXiv:2004.10059v3 ancillary geometries and SHCI.csv,https://arxiv.org/abs/2004.10059,arXiv ancillary terms,,,generate_g2_ccpvdz_rhf_then_freeze_core_1_2,2714825,2ddae4ee349e2424ef275eb2ac1aa64152fd9888d663390ef25fd1a0c225cab9,eligible_after_author_license,recipe_available,Generated by scripts/generate_g2_hamiltonians.py; 10 electrons in 31 orbitals.
