estimator,budget,ranks,timed_repeats,support_size,external_edges,external_unique,total_sec,total_sec_std,external_sec,external_sec_std,internal_sec,edge_generation_sec,support_lookup_sec,retained_projection_sec,external_staging_sec,report_assembly_sec,postprocess_sec,external_E2,external_E2_standard_error,delta_vs_exact_mha,delta_vs_exact_standard_errors,reduce_sec,reduce_local_transform_sec,reduce_route_prepare_sec,reduce_communication_sec,reduce_finalize_sec,countsketch_update_sec,countsketch_allreduce_sec,communication_bytes_per_rank,peak_device_allocated_bytes,peak_device_reserved_bytes,peak_host_rss_bytes,exchange_layout,edges_per_sec,speedup,parallel_efficiency
countsketch,30000,1,3,29715,107831972,-1,6.434052467346191,0.1214480116685938,6.428362131118774,0.13006436336465718,0.006114959716796875,3.2371082305908203,0.5883834362030029,0.2140336036682129,1.5895678997039795,1.0251998901367188e-05,1.0728836059570312e-05,-0.023707662107917707,2.777969431224584e-05,0.024903691369572434,0.8964710370694897,0.7849605083465576,0.7813692092895508,0.0,1.1682510375976562e-05,0.002941608428955078,0.2729337215423584,1.1682510375976562e-05,16777216,857181184,1168113664,13122596864,fixed_allreduce,16759572.998085404,1.0,1.0
countsketch,30000,2,3,29715,107831972,-1,3.157843589782715,0.028511195766750652,3.152798891067505,0.02859041921032269,0.005019664764404297,1.613464593887329,0.25316476821899414,0.10418367385864258,0.7883968353271484,9.059906005859375e-06,1.0251998901367188e-05,-0.023707662107918085,2.7779694312249556e-05,0.024903691369447534,0.8964710370648737,0.41469407081604004,0.3771235942840576,0.0,0.03191566467285156,0.005407571792602539,0.13723993301391602,0.03191566467285156,16777216,857181184,1170210816,7527944192,fixed_allreduce,34147344.20314329,2.0374829482257244,1.0187414741128622
countsketch,30000,4,3,29715,107831972,-1,1.6362009048461914,0.011602145344692363,1.6336722373962402,0.011656046572055169,0.003081798553466797,0.810039758682251,0.12930679321289062,0.0678110122680664,0.39829277992248535,9.059906005859375e-06,9.059906005859375e-06,-0.02370766210791727,2.777969431230502e-05,0.024903691369631414,0.8964710370697031,0.21269822120666504,0.188889741897583,0.0,0.02039957046508789,0.003426790237426758,0.06902122497558594,0.02039957046508789,16777216,857181184,1168113664,5071642624,fixed_allreduce,65903870.166931964,3.9323120090506336,0.9830780022626584
countsketch,30000,8,3,29715,107831972,-1,0.9284064769744873,0.04719911475127759,0.9263908863067627,0.04720048044194966,0.0023157596588134766,0.4461827278137207,0.07378196716308594,0.05776166915893555,0.23177814483642578,9.298324584960938e-06,1.0728836059570312e-05,-0.02370766210791788,2.7779694312274598e-05,0.02490369136952386,0.8964710370668132,0.11567878723144531,0.10149812698364258,0.0,0.012176990509033203,0.002518177032470703,0.03460335731506348,0.012176990509033203,16777216,857181184,1168113664,3412893696,fixed_allreduce,116147371.51705937,6.930210664097941,0.8662763330122426
countsketch,30000,12,3,29715,107831972,-1,0.6157546043395996,0.003799105739210725,0.6140744686126709,0.003861094943076816,0.002250194549560547,0.3107476234436035,0.04688739776611328,0.032807111740112305,0.14113712310791016,9.298324584960938e-06,8.58306884765625e-06,-0.023707662107918123,2.7779694312232826e-05,0.02490369136946835,0.8964710370661629,0.08002495765686035,0.06661152839660645,0.0,0.011210203170776367,0.0023653507232666016,0.023210763931274414,0.011210203170776367,16777216,857181184,1168113664,2527383552,fixed_allreduce,175121665.7415829,10.449052953890211,0.8707544128241843
countsketch,30000,16,3,29715,107831972,-1,0.45960116386413574,0.004573460479008635,0.45734739303588867,0.004569535693056504,0.0028400421142578125,0.22504830360412598,0.03714299201965332,0.016787052154541016,0.11478090286254883,1.1682510375976562e-05,1.0251998901367188e-05,-0.023707662107917832,2.777969431226501e-05,0.024903691369447534,0.896471037064375,0.06110835075378418,0.05101799964904785,0.0,0.007323265075683594,0.0025131702423095703,0.017468690872192383,0.007561206817626953,16777216,857181184,1176502272,2562789376,fixed_allreduce,234620754.8592644,13.999208385921719,0.8749505241201074
exact,30000,1,3,29715,107831972,45800099,7.075539827346802,0.08711445265824523,6.793668985366821,0.08641937179978547,0.0067369937896728516,3.198176860809326,0.5817101001739502,0.21364808082580566,1.5904731750488281,3.170967102050781e-05,0.276029109954834,-0.02373256579928728,0.0,0.0,0.0,1.208427906036377,0.5987184047698975,0.0,0.0,0.6082220077514648,nan,nan,1465603168,8884685312,10601103360,15583338496,single_rank,15240105.296733947,1.0,1.0
exact,30000,2,3,29715,107831972,45800099,3.5710222721099854,0.02764656520435329,3.4177794456481934,0.027284847554718147,0.012595415115356445,1.577683925628662,0.25586795806884766,0.10640382766723633,0.7931292057037354,1.6927719116210938e-05,0.14833736419677734,-0.023732565799287533,0.0,0.0,0.0,0.684272289276123,0.2787144184112549,0.05190610885620117,0.0565340518951416,0.2974734306335449,nan,nan,1549936336,5266898432,9059696640,8733814784,hierarchical_node,30196387.41605665,1.9813765606021063,0.9906882803010532
exact,30000,4,3,29715,107831972,45800099,1.8713631629943848,0.007160822846370937,1.781505823135376,0.003986561566512266,0.009235382080078125,0.8137466907501221,0.13207769393920898,0.06838512420654297,0.40194129943847656,1.4066696166992188e-05,0.08546328544616699,-0.0237325657992869,0.0,0.0,0.0,0.3470311164855957,0.1477043628692627,0.027696609497070312,0.019810914993286133,0.1572551727294922,nan,nan,810839976,2966300672,5016387584,5715447808,hierarchical_node,57622151.66587821,3.7809549569337295,0.9452387392334324
exact,30000,8,3,29715,107831972,45800099,1.033815622329712,0.00980499276366667,0.9849398136138916,0.009830367625670576,0.00438237190246582,0.44963574409484863,0.0704338550567627,0.04256296157836914,0.22481369972229004,1.3828277587890625e-05,0.046953678131103516,-0.023732565799287404,0.0,0.0,0.0,0.19302010536193848,0.08100295066833496,0.015291213989257812,0.014052867889404297,0.08316707611083984,nan,nan,425267660,1641266176,2764046336,3931025408,hierarchical_node,104304838.95861408,6.844102250459337,0.8555127813074171
