estimator,ranks,timed_repeats,support_size,states_per_rank,external_edges,external_unique,total_sec,total_sec_std,external_sec,external_sec_std,internal_sec,edge_generation_sec,support_lookup_sec,retained_projection_sec,external_staging_sec,report_assembly_sec,postprocess_sec,reduce_sec,reduce_local_transform_sec,reduce_route_prepare_sec,reduce_communication_sec,reduce_finalize_sec,countsketch_update_sec,countsketch_allreduce_sec,communication_bytes_per_rank,peak_device_allocated_bytes,peak_host_rss_bytes,edges_per_sec,external_edges_per_sec,normalized_weak_time,weak_efficiency
countsketch,1,3,12000,12000,44434859,-1,2.5173091888427734,0.0314345142491404,2.512903928756714,0.03134298352363162,0.004546165466308594,1.2775847911834717,0.21514487266540527,0.02538323402404785,0.6589035987854004,7.867813110351562e-06,9.775161743164062e-06,0.3216969966888428,0.31989288330078125,0.0,1.1920928955078125e-05,0.0017867088317871094,0.11247849464416504,1.1920928955078125e-05,16777216,857181184,6050508800,17651728.757414598,17682673.21782756,1.0,1.0
countsketch,2,3,24000,12000,88740757,-1,2.4847207069396973,0.03901535644431623,2.4803829193115234,0.0390343635998015,0.004719972610473633,1.281118392944336,0.18323850631713867,0.030042171478271484,0.640690803527832,8.58306884765625e-06,1.0013580322265625e-05,0.3277101516723633,0.31450557708740234,0.0,0.008073568344116211,0.005247354507446289,0.11231780052185059,0.008073568344116211,16777216,857181184,6113230848,35714580.21505259,35777039.22611742,0.9870542394841623,1.013115551302027
countsketch,4,3,48000,12000,176970076,-1,2.620126724243164,0.01565436015372678,2.6151816844940186,0.015537222050800444,0.005288839340209961,1.3313100337982178,0.20647025108337402,0.05029439926147461,0.6739311218261719,9.059906005859375e-06,1.0728836059570312e-05,0.34346485137939453,0.311934232711792,0.0,0.0269167423248291,0.0038099288940429688,0.11229777336120605,0.0269167423248291,16777216,857181184,6126129152,67542563.63348939,67670279.6785761,1.0408442220193288,0.9607585639087399
countsketch,8,3,96000,12000,351916732,-1,2.9675216674804688,0.1279551928304176,2.962024211883545,0.05574053380185573,0.006718158721923828,1.4766566753387451,0.24500513076782227,0.08465170860290527,0.7658586502075195,7.867813110351562e-06,1.3828277587890625e-05,0.3600943088531494,0.3288767337799072,0.0,0.028188467025756836,0.0030617713928222656,0.1116173267364502,0.028188467025756836,16777216,857181184,6140313600,118589439.75252919,118809539.29685028,1.1788467148307122,0.848286708881913
countsketch,12,3,144000,12000,524793993,-1,2.897637128829956,0.027361806401717675,2.8263943195343018,0.025277081010248413,0.07659745216369629,1.4226303100585938,0.2438819408416748,0.07007884979248047,0.726656436920166,8.344650268554688e-06,1.239776611328125e-05,0.38158559799194336,0.31670498847961426,0.0,0.061818838119506836,0.0030617713928222656,0.1108710765838623,0.061818838119506836,16777216,857181184,6291689472,181111012.06516767,185676141.99227127,1.151085111702954,0.8687454905229088
countsketch,16,3,192000,12000,695638831,-1,3.411513090133667,0.07092046348671675,3.269874095916748,0.041096714271275384,0.14488577842712402,1.4784343242645264,0.27598142623901367,0.14781498908996582,0.7388744354248047,8.821487426757812e-06,1.3828277587890625e-05,0.6374590396881104,0.31998181343078613,0.0,0.3144967555999756,0.0028672218322753906,0.11053466796875,0.3144967555999756,16777216,857181184,6332100608,203909178.30913088,212741778.6111943,1.3552221178289052,0.7378864223394032
exact,1,3,12000,12000,44434859,35465622,3.1698145866394043,0.04873480965650137,2.9370689392089844,0.05022068825369682,0.00513768196105957,1.3080053329467773,0.20904088020324707,0.02534031867980957,0.6633951663970947,1.8358230590820312e-05,0.22526049613952637,0.7268772125244141,0.2619946002960205,0.0,0.0,0.4633448123931885,nan,nan,1134899904,5768628736,7935553536,14018125.598667666,15128980.599266171,1.0,1.0
exact,2,3,24000,12000,88740757,63098592,3.13767409324646,0.039521463811537566,2.939086675643921,0.038387166956588024,0.01269388198852539,1.290217399597168,0.18481874465942383,0.030458688735961914,0.6425800323486328,1.621246337890625e-05,0.19382119178771973,0.7746181488037109,0.2524886131286621,0.07158637046813965,0.01450800895690918,0.4188525676727295,nan,nan,2145406368,7183335424,7872360448,28282337.28640138,30193310.641496442,0.9898604500312369,1.0102434135725324
exact,4,3,48000,12000,176970076,107832135,3.1878881454467773,0.181727407330929,3.008960723876953,0.02874674019112138,0.022371292114257812,1.3461434841156006,0.20705795288085938,0.037894248962402344,0.6709585189819336,1.4066696166992188e-05,0.17613530158996582,0.7196733951568604,0.256711483001709,0.06668472290039062,0.025934696197509766,0.37422633171081543,nan,nan,1997020192,7171359744,7635423232,55513263.930782594,58814352.27641639,1.0057017716063117,0.9943305542783277
exact,8,3,96000,12000,351916732,176626258,3.496694564819336,0.0719277618874823,3.296614646911621,0.02081576228147261,0.01687026023864746,1.5007686614990234,0.241441011428833,0.11511969566345215,0.7471435070037842,1.4066696166992188e-05,0.16256189346313477,0.7038905620574951,0.27754664421081543,0.06278848648071289,0.05613446235656738,0.31294918060302734,nan,nan,1839121532,7216055296,7409295360,100642685.67826213,106750945.95289971,1.1031227440108684,0.9065174346456478
exact,12,3,144000,12000,524793993,231019341,3.5051286220550537,0.0032414533314425206,3.284672737121582,0.026634238080884467,0.10921669006347656,1.3856971263885498,0.2440934181213379,0.11172604560852051,0.7001898288726807,1.3828277587890625e-05,0.1491696834564209,0.8286707401275635,0.26157355308532715,0.06451296806335449,0.20486807823181152,0.2688562870025635,nan,nan,1902029592,7196739584,7486504960,149721750.49379894,159770557.0692216,1.1057834855164652,0.9043361680636258
exact,16,3,192000,12000,695638831,276664934,4.376174211502075,0.32130259977302505,4.156223297119141,0.26087947801737615,0.5305569171905518,1.5011096000671387,0.27822279930114746,0.12173867225646973,0.8882136344909668,1.621246337890625e-05,0.15089964866638184,1.3698058128356934,0.313884973526001,0.060882568359375,0.31235432624816895,0.6878921985626221,nan,nan,1835565688,7179865088,7402328064,158960497.7726034,167372824.14113253,1.3805773466837497,0.7243346433302524
