system,label,step,seed,support_size,full_residual_error_mha,pt2_error_mha,rpt2_error_mha,dbw_error_mha,dbw_converged,total_sec
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",100,334,98150,-177.70156475808108,-177.70156475808108,-65.15355954525148,-84.2401401278039,True,127.1421971321106
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",250,334,104997,-167.2281803439546,-167.2281803439546,-23.900251994291466,-51.37115469551645,True,144.0504970550537
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",500,334,102892,-176.6600452288003,-176.6600452288003,-68.01710145282414,-86.1951666161076,True,132.12761640548706
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",1000,334,97933,-101.24904635404164,-101.24904635404164,-26.143344938645896,-37.52291984301337,True,136.25260376930237
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",2000,334,95550,-135.4619881635699,-135.4619881635699,-54.8366726338827,-67.18483589884272,True,111.28463506698608
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",3000,334,97090,-79.71475934709815,-79.71475934709815,-14.228850805920956,-23.91208983362958,True,120.81944584846497
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",5000,334,104217,-30.512508702940977,-30.512508702940977,-5.945787046584883,-8.25810658852788,True,135.80812168121338
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",8000,334,97366,-9.574388671808265,-9.574388671808265,3.9627139699405234,2.9885174835726502,True,124.37035870552063
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",12000,334,103012,-0.8853846134115884,-0.8853846134115884,8.852123376527743,8.241442879807437,True,131.81697368621826
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",16000,334,97795,-5.1970765398436924,-5.1970765398436924,3.2581685313743947,2.7605018331087194,True,116.75003623962402
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",20000,334,97321,3.222133447707165,3.222133447707165,9.643075392887113,9.319131151187321,True,112.41300106048584
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",25000,334,99408,-0.09960270654119086,-0.09960270654119086,6.255824031541124,5.934051433541754,True,117.55459237098694
cr2_cas24e30o,"Cr$_2$ CAS(24e,30o)",30000,334,97230,1.22607825551313,1.22607825551313,7.022727560979547,6.745957704879402,True,115.00541663169861
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",100,334,97215,198.4728821836228,198.4728821836228,201.54226637991712,201.36796226360332,True,79.7509093284607
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",250,334,102618,196.04572695175193,196.04572695175193,199.4421652968157,199.23163279295864,True,84.18040204048157
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",500,334,104962,198.27771335133093,198.27771335133093,201.11907734464296,200.95988562955824,True,87.994863986969
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",1000,334,104678,194.84805855579168,194.84805855579168,197.43891871496544,197.30388241892172,True,87.92162299156189
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",2000,334,97073,193.0333178160737,193.0333178160737,194.8435773751811,194.76606100828064,True,79.76267576217651
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",3000,334,97473,189.0930625843339,189.0930625843339,191.93900836192768,191.7753520888681,True,82.36964297294617
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",5000,334,95218,188.1966577269054,188.1966577269054,189.5427250313162,189.49363969498734,True,80.24151492118835
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",8000,334,95257,186.48738592014524,186.48738592014524,187.5439396933416,187.5111194475778,True,78.73801922798157
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",12000,334,95854,184.82405359280563,184.82405359280563,185.82517654324704,185.79481789404895,True,79.56799077987671
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",16000,334,95263,184.27675158807233,184.27675158807233,185.19965683591977,185.17318317394427,True,77.7706937789917
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",20000,334,95347,184.14785712266735,184.14785712266735,185.02175180246638,184.99744684618236,True,78.62320327758789
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",25000,334,96452,184.03935355036083,184.03935355036083,184.86829315595799,184.84592752801632,True,79.59414386749268
fe2s2_cas30e20o,"Fe$_2$S$_2$ CAS(30e,20o)",30000,334,100244,183.60931537861802,183.60931537861802,184.4603007044583,184.43622671823334,True,82.1486885547638
h2o_ccpvdz,H$_2$O/cc-pVDZ,100,334,29407,0.8200783731098227,0.8200783731098227,1.0366924150986279,1.034928931886725,True,11.984411716461182
h2o_ccpvdz,H$_2$O/cc-pVDZ,250,334,29198,0.27302171034193634,0.27302171034193634,0.4465651859817399,0.4453445981482673,True,12.096043348312378
h2o_ccpvdz,H$_2$O/cc-pVDZ,500,334,28821,-0.06679030207124015,-0.06679030207124015,0.08555004865229421,0.08451695750011368,True,11.706837177276611
h2o_ccpvdz,H$_2$O/cc-pVDZ,1000,334,28817,0.32210434714841085,0.32210434714841085,0.4406103817444773,0.43990735984777984,True,11.624439477920532
h2o_ccpvdz,H$_2$O/cc-pVDZ,2000,334,30611,0.347853082189431,0.347853082189431,0.4232450402668064,0.4228893139668344,True,12.529224872589111
h2o_ccpvdz,H$_2$O/cc-pVDZ,3000,334,30029,0.2375704576991211,0.2375704576991211,0.29930197625560595,0.29904332129149225,True,12.373672723770142
h2o_ccpvdz,H$_2$O/cc-pVDZ,5000,334,29453,0.5125653094211202,0.5125653094211202,0.5564345086952471,0.556278454951098,True,11.62752366065979
h2o_ccpvdz,H$_2$O/cc-pVDZ,8000,334,29615,-0.017936003686713775,-0.017936003686713775,0.0173411074086971,0.017226951598559026,True,12.08286166191101
