system,label,step,restricted_error_mha
n2_ccpvdz,N$_2$/cc-pVDZ,1,71.97649952064467
n2_ccpvdz,N$_2$/cc-pVDZ,10,69.5430262095158
n2_ccpvdz,N$_2$/cc-pVDZ,20,68.22883567019744
n2_ccpvdz,N$_2$/cc-pVDZ,30,67.26519880076864
n2_ccpvdz,N$_2$/cc-pVDZ,40,66.97605991379874
n2_ccpvdz,N$_2$/cc-pVDZ,50,66.22193317224401
n2_ccpvdz,N$_2$/cc-pVDZ,60,66.02520127638911
n2_ccpvdz,N$_2$/cc-pVDZ,70,65.40385488084155
n2_ccpvdz,N$_2$/cc-pVDZ,80,65.8434789640836
n2_ccpvdz,N$_2$/cc-pVDZ,90,65.31650912206999
n2_ccpvdz,N$_2$/cc-pVDZ,100,64.6967154593483
n2_ccpvdz,N$_2$/cc-pVDZ,110,66.86226194396738
n2_ccpvdz,N$_2$/cc-pVDZ,120,66.92616328705014
n2_ccpvdz,N$_2$/cc-pVDZ,130,65.57010738340807
n2_ccpvdz,N$_2$/cc-pVDZ,140,63.98218252242316
n2_ccpvdz,N$_2$/cc-pVDZ,150,67.06808144815568
n2_ccpvdz,N$_2$/cc-pVDZ,160,64.86604490855541
n2_ccpvdz,N$_2$/cc-pVDZ,170,63.348371258356906
n2_ccpvdz,N$_2$/cc-pVDZ,180,62.80470028472962
n2_ccpvdz,N$_2$/cc-pVDZ,190,62.762887187517435
n2_ccpvdz,N$_2$/cc-pVDZ,200,62.637903815343066
n2_ccpvdz,N$_2$/cc-pVDZ,210,63.91248212220546
n2_ccpvdz,N$_2$/cc-pVDZ,220,62.849111997422824
n2_ccpvdz,N$_2$/cc-pVDZ,230,61.75454045930451
n2_ccpvdz,N$_2$/cc-pVDZ,240,63.21302936217421
n2_ccpvdz,N$_2$/cc-pVDZ,250,62.56952913783209
n2_ccpvdz,N$_2$/cc-pVDZ,260,62.32487600566117
n2_ccpvdz,N$_2$/cc-pVDZ,270,62.68379907879762
n2_ccpvdz,N$_2$/cc-pVDZ,280,61.47751168055038
n2_ccpvdz,N$_2$/cc-pVDZ,290,62.985416721289766
n2_ccpvdz,N$_2$/cc-pVDZ,300,62.27559899764401
n2_ccpvdz,N$_2$/cc-pVDZ,310,61.07921403931016
n2_ccpvdz,N$_2$/cc-pVDZ,320,62.44823093884122
n2_ccpvdz,N$_2$/cc-pVDZ,330,61.46692766735384
n2_ccpvdz,N$_2$/cc-pVDZ,340,60.785463768340264
n2_ccpvdz,N$_2$/cc-pVDZ,350,60.61204637566675
n2_ccpvdz,N$_2$/cc-pVDZ,360,61.06786521895913
n2_ccpvdz,N$_2$/cc-pVDZ,370,60.179149480759975
n2_ccpvdz,N$_2$/cc-pVDZ,380,61.039033906865825
n2_ccpvdz,N$_2$/cc-pVDZ,390,61.283463727008325
n2_ccpvdz,N$_2$/cc-pVDZ,400,59.89616629742045
n2_ccpvdz,N$_2$/cc-pVDZ,410,59.94286118676939
n2_ccpvdz,N$_2$/cc-pVDZ,420,59.805414022036985
n2_ccpvdz,N$_2$/cc-pVDZ,430,60.64772252062767
n2_ccpvdz,N$_2$/cc-pVDZ,440,60.63549886019359
n2_ccpvdz,N$_2$/cc-pVDZ,450,59.72640184690192
n2_ccpvdz,N$_2$/cc-pVDZ,460,59.55252702936775
n2_ccpvdz,N$_2$/cc-pVDZ,470,59.5771744385587
n2_ccpvdz,N$_2$/cc-pVDZ,480,60.65021038436669
n2_ccpvdz,N$_2$/cc-pVDZ,490,59.286982696860946
n2_ccpvdz,N$_2$/cc-pVDZ,500,59.15753660504208
n2_ccpvdz,N$_2$/cc-pVDZ,510,59.27154707087823
