eta,e0_hartree,e1_hartree,e2_hartree,w0,w1,w2
-1.2,-108.55098340310448,-108.46041747144638,-108.3544941344222,5.0048295514080314e-08,8.7987891770706145e-05,2.0241877560990822e-08
-1.125,-108.40443577280408,-108.3033988222422,-108.21345093498761,5.9206081313295739e-08,0.00012276626146466677,2.0219309656353929e-08
-1.05,-108.26363775640452,-108.15081240938746,-108.07765817723852,7.3134993904067766e-08,0.00018779479572897655,1.9775229806772595e-08
-0.975,-108.12905167228652,-108.00304565077842,-107.94790437448452,9.661408615792412e-08,0.00033717907491995192,2.6942658589857196e-09
-0.9,-108.0011184498601,-107.86050653032164,-107.82514474325896,1.4288701835088055e-07,0.0008508391474120004,2.106508283101965e-08
-0.825,-107.88024195174174,-107.72377533525844,-107.71054097668976,2.62545145874918e-07,0.007082011652029545,7.9455869725002586e-08
-0.75,-107.76677380255428,-107.66046848978034,-107.60548436936536,8.369412184366134e-07,0.99480671759136141,1.8967858273011139e-08
-0.73125,-107.73959944328426,-107.66033728822886,-107.58089436960468,1.3966324598996034e-06,0.99764777518953462,1.3361155234526095e-09
-0.7125,-107.71291012201192,-107.6602661934796,-107.55702496728269,2.9301719745668303e-06,0.99867296982381482,2.9258766370287726e-10
-0.69375,-107.6867093450924,-107.66022013620392,-107.53390145252598,1.0689497795555868e-05,0.99914537961190564,9.0090328051287369e-10
-0.675,-107.66100817018528,-107.66017901570618,-107.51154842762956,0.010160742510267287,0.98925698592690137,1.5554788710083251e-09
-0.65625,-107.66016234511336,-107.6357845447118,-107.48998933042763,0.99956489769546719,1.0705511479555016e-05,2.0545545783273046e-09
-0.6375,-107.66014173914964,-107.61106661161686,-107.46924590204009,0.99967564996420555,2.4257839339085421e-06,2.4018030605323607e-09
-0.61875,-107.66012459833668,-107.5868475820476,-107.44933761249712,0.99974735765852918,9.9711015353354165e-07,2.6852114866553075e-09
-0.6,-107.6601099227004,-107.5631293332537,-107.43028106911328,0.99979815654845916,5.2059697879788046e-07,2.7636768018277457e-09
-0.525,-107.6600662773879,-107.47328873341974,-107.36277311783029,0.99990426025883916,9.59352756875575e-08,2.6690590790620846e-09
-0.45,-107.66003639040127,-107.39152081044048,-107.30914655399708,0.99994859181870643,3.03626367252683e-08,2.4029319976751856e-09
-0.375,-107.6600144638505,-107.31780621813969,-107.26834836173926,0.99997139641102362,1.1523281542987243e-08,1.8495582786109323e-09
-0.3,-107.6599981539911,-107.25220728558644,-107.238481939858,0.99998447620380315,4.5563180085113213e-09,1.2726920393020439e-09
-0.225,-107.6599863031188,-107.21741014238232,-107.2174101305705,0.99999231148063616,7.4450614474096843e-10,1.507812041369177e-11
-0.15,-107.65997825914458,-107.20321289811729,-107.20321288604862,0.9999969112481214,3.5020653506737634e-10,5.4130658025585477e-12
-0.075,-107.65997361919371,-107.19436404236303,-107.19436403005126,0.99999928853594522,9.2264426223436239e-11,1.0716558180412035e-12
0,-107.65997211699738,-107.18972360370608,-107.18972235310072,0.99999999999999922,1.4267781970992755e-30,1.0206786820207768e-29
