requested_budget,support_size,seed,E_S_error_mha,pt2_error_mha,rpt2_error_mha,dbw_error_mha,dbw_converged,correction_total_sec,sample_sec,external_unique,world_size
3000,2951,333,32.773095416843034,-1.7116621660733244,-1.4789784361255442,-1.4808721587087348,True,3.687116861343384,5.341637134552002,5055593,4
3000,3069,334,32.62712636778531,-1.6904197822782407,-1.459994974482015,-1.4618612508030537,True,3.7452659606933594,5.333357095718384,5290985,4
3000,3025,335,32.7586791479888,-1.7076287168862336,-1.4751709145599534,-1.4770605305614026,True,3.676880359649658,5.318929195404053,5247625,4
3000,3023,336,32.719183596441326,-1.6760499642884952,-1.4444552383565679,-1.446336375465762,True,3.7047176361083984,5.317396879196167,5250499,4
3000,3016,337,32.66371577170446,-1.6814222613845686,-1.4506046626792113,-1.4524757099110275,True,3.705298662185669,5.4687659740448,5188560,4
6000,6291,333,29.651601730094512,-1.0811129185412938,-0.9008645503172374,-0.9021280296082068,True,4.517581462860107,7.376851797103882,10801288,4
6000,6292,334,29.657449670139613,-1.098487559829664,-0.9179895474460409,-0.9192549345300449,True,4.581175088882446,8.580123901367188,10741114,4
6000,6273,335,29.648533954585332,-1.100190026889436,-0.919554814927892,-0.9208225387453695,True,4.621598958969116,8.828337669372559,10699238,4
6000,5798,336,29.881350705665,-1.1278713232201198,-0.9439573385066069,-0.9452609472617723,True,4.442617654800415,2.825934648513794,9921728,4
6000,6278,337,29.644607576443605,-1.095287558470659,-0.9149156097976174,-0.9161798600132443,True,4.781466007232666,9.693044424057007,10731229,4
12000,12171,333,28.311629068241473,-0.8868266378811995,-0.723867310725268,-0.7249500386592445,True,6.340304613113403,13.72664761543274,20330927,4
12000,12240,334,28.290417161443315,-0.8756846025619325,-0.7131075722099922,-0.7141864969071321,True,6.382361173629761,19.703112840652466,20351519,4
12000,12226,335,28.286706000514528,-0.8742046974958839,-0.7117644913279264,-0.7128420159716597,True,6.491840124130249,15.217570304870605,20458873,4
12000,12141,336,28.27669754559281,-0.8692851722713613,-0.7070286491597244,-0.7081044795569369,True,6.45169734954834,12.163408517837524,20256737,4
12000,12225,337,28.310194488682328,-0.8729950756105609,-0.7103143185105409,-0.7113943688210611,True,6.549323081970215,19.087555646896362,20333309,4
30000,29715,333,27.43157794820661,-0.7532056875589888,-0.6007248292547729,-0.6017057863800801,True,10.717995643615723,4.06318473815918,45800099,4
30000,29640,334,27.45146458896386,-0.755913330735325,-0.6032005796612339,-0.6041837879990908,True,10.905408143997192,4.046586036682129,45723306,4
30000,29730,335,27.441250259386152,-0.754317377385405,-0.6017319712441349,-0.6027139417881244,True,10.487003803253174,3.5423617362976074,45808835,4
30000,29577,336,27.447156066386924,-0.755209749684127,-0.6025339556856579,-0.6035168060805063,True,10.694963693618774,3.6485908031463623,45543719,4
30000,29661,337,27.436989191045313,-0.7560753618065519,-0.6034715048741646,-0.604453618237244,True,10.65392255783081,2.7164194583892822,45744661,4
100000,100200,333,27.137289379282947,-0.7122577003570996,-0.5630819560593636,-0.5640322203532833,True,29.86634397506714,16.105010509490967,135154646,4
100000,100762,334,27.137643301500702,-0.7124749982381218,-0.5632933757482306,-0.564243694157085,True,30.14029097557068,15.44209361076355,135854065,4
100000,100303,335,27.137829297856797,-0.7124641056037717,-0.5632878858818913,-0.5642381586312695,True,30.427266836166382,16.254269123077393,135259292,4
100000,100528,336,27.136276597119036,-0.7123567981466294,-0.5631904854652703,-0.5641406606002874,True,29.807801246643066,15.437954187393188,135281986,4
100000,100293,337,27.136609638915843,-0.7124923233590152,-0.5633231082100565,-0.5642733072619421,True,29.88823914527893,16.36522150039673,135153315,4
300000,298352,333,27.123030039945206,-0.7088171320930314,-0.5598344696267077,-0.5607829781126838,True,83.11068987846375,22.837424516677856,358999436,4
300000,299061,334,27.122952424107893,-0.7088029853719036,-0.5598215539350804,-0.5607700513508007,True,84.6013286113739,22.782216787338257,359691657,4
300000,298955,335,27.122877402078416,-0.7088232116103654,-0.5598419127750276,-0.5607904084570237,True,85.31095290184021,22.70314908027649,359772004,4
300000,299333,336,27.12312139901485,-0.7088368400616218,-0.5598531286921116,-0.5608016471683186,True,84.90435123443604,22.54754137992859,360511271,4
300000,298720,337,27.122949186662026,-0.7088357629640996,-0.5598532992223682,-0.5608018060883069,True,84.69137191772461,22.75984239578247,359552999,4
